id,start_from_week_seconds,duration
422238,554457,2093
422237,554408,2142
422236,554287,2325
422235,554276,2253
422232,554124,2391
422230,554086,2516
422229,554084,2431
422228,554037,2468
422227,554004,2501
422226,553958,2644
422225,553877,2610
422224,553864,2590
422223,553835,2652
422222,553830,2632
422221,553786,2054
422220,553775,2687
422219,553774,2680
422218,553766,2710
422217,553740,2644
422216,553705,2706
422215,553678,2733
422214,553646,2750
422213,553596,2800
422212,553464,2920
422211,553398,2979
422210,553393,2931
422209,553380,2955
422208,553368,2995
422207,553301,3048
422206,553261,3074
422205,553231,3093
422204,553024,3293
422203,553019,3247
422202,552954,3340
422201,552946,3371
422200,552946,3357
422199,552887,3322
422198,552880,3386
422197,552879,3366
422196,552849,3371
422195,552838,3407
422194,552829,3465
422193,552827,3401
422192,552761,3448
422191,552726,3440
422190,552696,3487
422189,552675,3519
422188,552634,3586
422187,552630,3564
422186,552621,3545
422185,552592,3562
422184,552518,3665
422183,552477,3636
422182,552460,3694
422181,552383,3746
422180,552250,3761
422179,552236,3856
422178,552171,3898
422177,552166,3926
422176,552150,3979
422175,552111,4002
422174,552097,3936
422173,552096,3943
422172,552075,3921
422171,552073,3996
422170,552061,3950
422169,552051,3945
422168,552047,3933
422167,551997,4142
422166,551995,4038
422165,551946,4193
422164,551933,4047
422163,551880,4086
422162,551860,3996
422161,551825,4050
422160,551824,4142
422159,551808,4120
422158,551804,4105
422157,551796,4113
422156,551754,4132
422155,551745,4183
422154,551705,4170
422153,551665,4167
422152,551659,4197
422151,551593,4323
422150,551585,4247
422149,551520,4320
422148,551194,4557
422147,551180,4736
422146,551105,4646
422145,551064,4736
422144,551036,4764
422143,550932,4799
422142,550874,4857
422141,550830,4873
422140,550810,4893
422139,550582,5136
422138,550579,5103
422137,550496,5186
422136,550483,5235
422135,550396,5271
422134,550349,5318
422133,550181,5461
422132,550124,5518
422131,550036,5564
422130,549976,5624
422129,549804,5743
422128,549800,5755
422127,549787,5760
422126,549785,5740
422125,549730,5825
422124,549709,5816
422123,549684,5820
422122,549638,5989
422121,549621,5872
422119,549564,5929
422118,549508,5996
422117,549235,6380
422116,549233,6240
422114,549095,6520
422113,549065,6249
422112,549054,6297
422111,549043,6430
422110,549031,6320
422109,549020,6320
422108,548946,6416
422107,548845,6495
422106,548772,6590
422105,548562,6752
422104,548536,6792
422103,548516,6763
422102,548441,6838
422101,548420,6832
422100,548398,6854
422099,548356,6879
422098,548300,6935
422097,548256,6610
422096,547956,7287
422095,547662,7489
422094,547655,7511
422093,547615,7551
422092,547541,7610
422091,547533,3884
422088,547186,7945
422087,547184,7917
422086,547152,7979
422085,547136,7952
422084,547069,8019
422083,547013,8088
422082,546841,8201
422081,546825,8217
422080,546775,8290
422079,546707,8358
422078,546688,8347
422077,546647,8270
422076,546641,8394
422075,546556,8342
422074,546519,8378
422073,546508,8409
422072,546505,8378
422071,546396,8487
422070,546304,8526
422069,546278,8552
422068,546098,8714
422067,546045,8821
422066,546014,8798
422065,545932,6091
422064,545889,8893
422063,545854,8928
422062,545852,8905
422061,545817,8940
422060,545629,9120
422059,545609,9140
422058,545572,9144
422057,545507,9209
422056,545124,9644
422055,545092,9567
422054,545090,9678
422053,545040,9647
422052,544930,9729
422051,544923,9764
422050,544885,9764
422049,544830,9819
422048,544790,9824
